Description,Salary,,
JT-Python_mean,"136,785.714286",,
JT-Manager_mean,"83,185.0835443",,
JT-Research_mean,"40,515.3878788",,
JT-Data_Scientist_mean,"137,568.793578",,
JT-VP_mean,"190,500",,
JT-Scientist_mean,"86,510.434185",,
JT-Data_mean,"130,361.773055",,
JT-Analyst_mean,"89,922.4302326",,
JT-Senior_mean,"141,500",,
JD-Engineer_mean,"161,529.411765",,
JD-Year3_mean,"140,625",,
JD-Year2_mean,"109,083.277778",,
JD-Database_mean,"93,393.2777778",,
JD-Machine_Learning_mean,"123,610.888889",,
JD-Team_mean,"125,129.803087",,
JD-Experience_mean,"135,865.431122",,
JD-Year4_mean,"150,000",,
JD-Data_mean,"130,349.170213",,
JD-VP_mean,"126,111.111111",,
JD-Year1_mean,"73,503.6145833",,
JD-Year5_mean,"115,000",,
JD-SQL_mean,"101,411.428571",,
JD-Data_Scientist_mean,"138,085.748792",,